Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
imnsdMbZ834,They Are Billions | Campaña | 800% Dificultad Maxima |Centro de comunicaciones alfa| Cap 12| Español,"Feb 24, 2023",2433,73,4.7004,0,1953,2.46
zjhAnK1yXxU,Frospunk | Gameplay/Guía | Español | Cap #01 | Escenario Nuevo Hogar | Superviviente,"Aug 30, 2022",2782,72,6.0646,1,475,5.47
B4-2NP7FbO4,Frostpunk | Al límite | Guia | Superviviente | Todas las mejoras | Salvando NL | Sin muertes #1 |,"Apr 24, 2024",4847,69,15.6725,0,844,3.67
p8Tc4B9I7ho,They Are Billions | Campaña | 800% Dificultad Maxima | El Oasis | Cap 17 | Español,"Mar 31, 2023",5040,69,8.1277,0,3026,1.35
USguhPxzpF4,They Are Billions | Campaña | 800% Dificultad Maxima | Laboratorio Omicrón | Cap 32 |  Español,"Sep 18, 2023",2398,64,2.4964,0,5511,0.87
hRoBKzI7Oqk,#frostpunk OMG,"Dec 9, 2023",13,62,0.1494,0,1111,2.97
EDeVstLyGV4,They Are Billions | Campaña | 800% Dificultad Maxima | El bosque solitario | Cap 18 | Español,"Apr 9, 2023",3353,61,4.549,0,1924,1.82
HZU50coB93c,Frostpunk | El Arca de las Semillas | Sobreviviente | Salvando New Manchester | Sin muertes #1,"Nov 18, 2022",3418,61,8.397,0,1041,3.94
jbio_vOSyus,Frostpunk | El Ultimo Otoño | Guia | Superviviente | Generador Completo | Sin muertes #3,"Dec 6, 2023",3513,59,4.8846,0,3370,1.28
_kRu01yz--U,Frostpunk | La Caída de Ivernia | Guia | Sobreviviente | Full Acorazado | Sin muertes #4 FINAL,"Nov 16, 2023",5103,55,2.2456,0,2990,1.27
HusjTePtdA4,un domingo cualquiera en el stream   #lol #leagueoflegends,"Dec 14, 2023",41,54,0.388,1,157,6.37
lmrhupKyj4g,Terraformers | Gameplay/Guía |  The Red Planet Awaits | Utópico ++++ | Turno 65 | FINAL  | Español,"Apr 2, 2024",4052,53,2.2414,0,945,3.81
2yYNstMe5Hc,JAJAJA lo peor es que es verdad #memes   #humor,"Mar 16, 2025",12,52,0.3363,0,60,8.33
KrsP8VZg-6o,Mexicano S3x symbol opina sobre las chicas brasileiras #leagueoflegends  #lol,"Nov 25, 2023",34,52,0.3241,0,289,3.11
t0oBNxZfL6o,Frostpunk | El Ultimo Otoño | Guia | Superviviente | Generador Completo | Sin muertes #4,"Dec 13, 2023",4289,52,3.7646,1,5132,0.88
Fkx7mEp6LYo,They Are Billions | Campaña | 800% Dificultad Maxima | Planta de energía hydra | Cap 16 | Español,"Mar 25, 2023",2675,50,3.369,1,2158,1.39
Z7PWDheQHO0,Diplomacy is not an option | #4| Tu peor pesadilla | Sin comentarios | Del Fuego al Sartén,"Jul 14, 2025",7022,50,4.2727,0,10560,0.37
W7WE-3x_-HI,#frostpunk2  C viene,"Apr 17, 2024",26,49,0.1838,1,341,0.59
pXrRFhe4u4w,Si yo no jugue el MSI porque no quise  #humor #lol #gaming #bronce #leagueoflegends #memes #games,"May 1, 2024",14,49,0.1701,0,158,2.53
8s1eZZ8qB1s,el pan de cada día #humor #lol #gaming #bronce #leagueoflegends #memes #games,"May 3, 2024",31,44,0.2726,0,119,0.84
NYjYA8QNZJI,Kingdom Rush 5 Alliance | IMPOSIBLE 3 estrellas | Desafío Héroico COMPLETO,"Aug 24, 2024",7705,44,1.2528,1,383,9.92
08Ejwbk76AI,They Are Billions | Campaña | 800% Dificultad Maxima | Centro médico Gamma|Completo|Cap 23 | Español,"May 13, 2023",2525,40,1.2554,1,1153,2.43
tN5Vph8bhkA,Diplomacy is not an option | #2 | Tu peor pesadilla | Sin comentarios | Entre la espada y la pared,"Jun 28, 2025",5080,40,6.1721,0,7942,0.39
F0o1r0Nb_YA,Frostpunk | La Caída de Ivernia | Guia | Sobreviviente | Full Acorazado | Sin muertes #2,"Nov 1, 2023",2604,36,3.4351,0,1188,1.68
pVouXWNdJVc,Frostpunk | Gameplay/Guía | Español | Cap 01 | Escenario Los refugiados  | Superviviente,"Dec 18, 2022",3189,35,7.9803,0,835,1.68
JmdEZzLLimo,Me dicen el sacac4c4s    #lol #leagueoflegends,"Dec 2, 2023",32,34,0.2216,0,125,3.2
t7e0NHKu4Xc,Terraformers | Gameplay/Guía |  The Red Planet Awaits | Utópico ++++ | Turno 65 | Cap #1 | Español,"Mar 17, 2024",4317,34,2.2433,0,451,3.33
 -Iix3YLW6DA,"Si yo era bien buen pedo, hasta que empece a jugar jungla  #memes   #humor","Mar 2, 2025",10,33,0.0918,0,260,0.77
knkfSiP8rlA,Eso muerde el cebo 7u7  #leagueoflegends  #lol  #gaming  #humor  #memes #play,"May 8, 2024",25,32,0.2096,0,362,1.38
tD5nKpxYZ1g,Frostpunk | La Caída de Ivernia | Guia | Sobreviviente | Full Acorazado | Sin muertes #3,"Nov 8, 2023",1779,32,1.1694,0,2795,0.97
IqU3nUNcz9w,Frostpunk | El Arca de las Semillas | Sobreviviente | Salvando New Manchester | Sin muertes #2,"Nov 25, 2022",4042,31,4.4204,0,852,1.76
xRV8XFz-SDQ,#frostpunk  Iniciando con toda la actititud,"Feb 10, 2024",13,30,0.0679,0,401,1.25
9te-IUnnjFM,Yo todo loko todo bisiado ujuja #leagueoflegends #memes #humor,"Jul 6, 2025",18,29,0.306,0,63,1.59
PlqV_ULbdNk,#shorts  #frostpunk  Un generador pero en FA | El último otoño,"Nov 20, 2023",16,27,0.0844,0,497,1.01
pUbDyamVAP0,Frostpunk | Gameplay/Guía | Español | Cap 02 | Refugiados | Superviviente,"Dec 24, 2022",2316,26,1.262,0,729,1.78
8rxM8ztJZPY,Frostpunk | Gameplay/Guía | Español | Cap 06 FINAL | Escenario Nuevo Hogar | Superviviente,"Oct 6, 2022",2180,23,0.8721,0,371,2.96
v1uYvjp0-MQ,Terraformers | Gameplay/Guía |  Senda Azul| Utópico ++++ | Turno 65 | Cap #01 | Español,"May 11, 2024",3658,23,0.2267,0,665,3.16
CksTeX6l33M,🎮 JAJA lo tengo que sacar mas seguido👉 Sígueme en Twitch y YouTube:  ⁨@elchilakas,"Sep 16, 2025",9,21,0.0374,0,46,4.35
ZdL7EYtsZrA,#frostpunk Y dime eres escéptico ? Pueeees......,"Dec 7, 2023",18,21,0.0653,1,412,1.7
E6crjHYPzOw,Leroy desatado  #hearthstone #battlegrounds,"Nov 22, 2023",19,20,0.1177,0,235,1.28
rvo4UquWI3M,Frostpunk | Al límite | Guia | Superviviente | Todas las mejoras | Salvando NL | Sin muertes FINAL |,"Apr 27, 2024",6868,20,1.255,1,252,6.35
KIZSIEmjAt8,#mood,"Dec 3, 2023",30,19,0.0535,0,116,4.31
hN8c52LJTlk,"Diplomacy is not an option | #3 | Tu peor pesadilla | Sin comentarios | ¡En marcha, mi señor!","Jul 5, 2025",4325,19,1.5412,0,1544,0.97
monhuuRgQ0M,Terraformers First Steps on Mars  | Prológo | review y/o Gameplay | Español,"Nov 20, 2021",2146,19,0.2321,0,235,6.81
n7jR1fKu35c,sin miedo al exito #leagueoflegends  #lol  #gaming  #humor  #memes  #xd #games #gamer,"May 24, 2024",9,18,0.0489,0,157,3.18
3BL84_32ZH0,Llamando al supp #leagueoflegends   #lol  #gaming  #memes,"Aug 3, 2024",6,17,0.0349,1,196,0.51
QUp5KsojkSk,Frostpunk | Gameplay/Guía | Español | Cap 03 FINAL | Los refugiados | Superviviente,"Jan 15, 2023",2775,16,0.2,0,466,2.15
Rl5UJGA0C0s,"Habit Tracker 2.0 | Review, Instalación y Tutorial Paso a Paso​","Sep 4, 2025",735,15,0.4448,0,48,4.17
7BRe_UcE03Y,🎮A mi cuchurrumin no lo dejo jugar solo  #humor #leagueoflegends #memes,"Jul 18, 2025",7,14,0.0202,0,167,0
7ZokFHwETHc,Desde ese día todo cambio  #memes   #humor  #funnymemesvideos,"Feb 8, 2025",16,14,0.028,0,63,0
GIFCOfqm_hs,Terraformers | Gameplay/Guía |  Senda Verde | Utópico ++++ | Turno 65 | Cap FINAL | Español,"May 4, 2024",2348,14,0.7596,0,298,3.36
WIGXJWEI5OA,🎮 Esque también tu we como sacas Lee Sin si nunca juegas jungla 😭 🔴 👉 Sígueme guapo ⁨@elchilakas​,"Sep 18, 2025",10,14,0.025,0,24,0
IfT23t4fNcw,Terraformers | Gameplay/Guía |  Senda Verde | Utópico ++++ | Turno 65 | Cap #01 | Español,"Apr 20, 2024",6037,13,2.4988,0,391,2.81
bdKwNpIH26E,Frostpunk | Gameplay/Guía | Español | Cap 05 | Escenario Nuevo Hogar | Superviviente,"Sep 30, 2022",3652,12,1.8718,0,325,1.23
eO2hSFJi-k8,🎮JAJAJA al menos tiene buen corazón #humor #leagueoflegends,"Jul 20, 2025",16,12,0.0304,0,18,0
lYiYswAxgJc,Frostpunk | Gameplay/Guía | Español | Cap #02 | Escenario Nuevo Hogar| Superviviente,"Sep 2, 2022",3407,12,1.7595,0,370,1.89
7FI6rIlxIg0,Frostpunk | Gameplay/Guía | Español | Cap #04 | Escenario Nuevo Hogar | Superviviente,"Sep 23, 2022",3748,11,3.5925,0,269,1.12
mUrTGpi_zOc,Frostpunk | Gameplay/Guía | Español | Cap # 03 | Escenario Nuevo Hogar  | Superviviente,"Sep 16, 2022",4910,11,1.1462,0,638,1.1
jNRTi_WQKY0,🎮 La gente que no avisa que hay visitas,"Jul 13, 2025",12,10,0.0186,0,15,0
CPqv8v2rkmY,Ahora puedo ver el futuro en mis rankeds #memes   #humor  #funnymemesvideos,"Jan 26, 2025",8,9,0.0118,0,33,0
PJHvhfnK-UU,Terraformers | Gameplay/Guía |  The Red Planet Awaits | Utópico ++++ | Turno 65 | Cap #2 | Español,"Mar 23, 2024",2715,9,2.3148,0,275,2.55
l_8tM63Ttvs,Definición de jugar jg en Soloq   #leagueoflegends #memes #humor,"Jun 8, 2025",10,9,0.0138,0,22,0
pLRhtKKK0qU,Regresando a las andadas | Hearthstone Battlegrounds,"Nov 26, 2023",1332,9,0.3991,0,3695,0.16
1J9KrhtkM84,🎮 pasale el reel a ese woei para que se apure #memes #leagueoflegends #humor #gaming,"Jul 14, 2025",11,8,0.0157,0,54,0
2Q98zVR-a30,Diplomacy is not an option | #1 | Tu peor pesadilla | Sin comentarios | Llamada de atención,"Jun 20, 2025",2445,8,1.4276,0,87,4.6
FmxB5aexIT0,🎮Estos brazotes no se hicieron solos #humor #leagueoflegends,"Jul 21, 2025",13,8,0.0115,0,18,0
RUrLHUQodY0,Terraformers | Gameplay/Guía |  Senda Roja | Utópico ++++ | Turno 65 | Cap #1 | Español,"Apr 11, 2024",3808,8,1.1264,0,212,1.42
u6luIR1T-M0,En cuanto toco el lol me transformo,"Jan 4, 2025",45,8,0.0557,0,38,0
8l1jm_NPCsQ,"Lo que no sé, es si lo están bombeando a el, o el es el bombeador 7u7   #memes   #humor","Mar 1, 2025",7,7,0.0092,0,32,0
8o5FcGCmhlo,Terraformers | Gameplay/Guía |  Senda Azul| Utópico ++++ | Turno 65 | Cap FINAL | Español,"May 18, 2024",4044,7,1.2849,0,332,0.9
I1cJvFxdmiA,🎮 Tranquilo Ned piensa en la biblia  #humor #leagueoflegends,"Jul 19, 2025",18,7,0.01,0,14,0
NhPcrDhXNyQ,Frostpunk 2  | PRÓLOGO | Capitán & Superviviente | #01 Empezamos con todo,"Oct 19, 2024",1935,7,0.112,1,115,2.61
Uuf8VaT9Y84,🎮 ai mi corason🔴 Descarga mi App GRATIS! link en la bio. 👉 Sígueme en  YouTube:  ⁨@elchilakas​,"Sep 12, 2025",14,7,0.0115,0,28,0
UwpVK4LwWo4,🎮 El supp como siempre como pera de boxeo 👉 Sígueme en Twitch y YouTube: @elchilakas,"Sep 2, 2025",17,7,0.0166,0,13,0
ddt449HoK7U,Nooo el faker ruso nooo #leagueoflegends   #lol  #humor #internetmemes #memescortos,"Nov 6, 2024",14,7,0.02,0,203,0.99
gElTJ6VrWUg,Terraformers | Gameplay/Guía |  Senda Roja | Utópico ++++ | Turno 65 | Cap FINAL | Español,"Apr 13, 2024",3632,7,1.097,0,205,2.44
tL7uMGP8Xik,🎮 malditos hombrez  👉 Sígueme en Twitch y YouTube:⁩   @elchilakas​,"Aug 10, 2025",18,4,0.0016,0,15,0
3NUEgQIWzeI,🎮 Fallé como padre🔴 👉 Sígueme en Twitch y YouTube: @elchilakas​,"Aug 16, 2025",18,3,0.0036,0,17,0
3R0Hwrb7XqI,🎮 En efecto si estaba todo pérdido xd🔴👉 Sígueme en YouTube: @elchilakas​,"Sep 30, 2025",14,3,0.0051,,2,50
KS72dhxd7cY,Frostpunk Escenario Arca de semillas | Modo secso (Extremo)  #2| Guia y/o Gameplay | Con todo 7u7,"Jan 6, 2022",2287,3,0.0145,0,1184,0.25
h9dy1LQx2xA,"🎮 Antes de que existiera el LoL, K buenos tiempos 👉 Sígueme en YouTube @elchilakas​","Sep 28, 2025",18,3,0.0063,0,6,16.67
upnBolwVNwY,🎮 y mi jg tragando verdura en el otro lado del mapa  😢 #humor #leagueoflegends,"Jul 25, 2025",10,3,0.0019,0,20,0
